model_label,max_num_seqs,itl_dist,itl_mix_loc,itl_mix_pi_steady,itl_mix_sigma_steady,itl_mix_scale_steady,itl_mix_pi_stall,itl_mix_sigma_stall,itl_mix_scale_stall
Llama-3.1-405B,8,lognormal_mixture_2,0.029814763235092162,0.957200571025923,0.05409894580485472,0.0033871174475517797,0.04279942897407696,1.7354345964695308,0.007195773794863316
Llama-3.1-405B,16,lognormal_mixture_2,0.024713983999729155,0.9463930885295082,0.05,0.009322546786604182,0.05360691147049179,0.995674214634189,0.023448181502284848
Llama-3.1-405B,32,lognormal_mixture_2,0.016498148681759833,0.9260926864215142,0.05,0.019842170525771235,0.07390731357848579,0.7320543620724521,0.04555732131859944
Llama-3.1-405B,64,lognormal_mixture_2,0.03152825334870815,0.7929940603219994,0.08253738945931417,0.0076138475784196065,0.20700593967800063,1.323371073182697,0.019287437563102458
Llama-3.1-405B,96,lognormal_mixture_2,0.030120123418211936,0.7201440801614838,0.05,0.013914741048287108,0.2798559198385162,1.2985027758578491,0.022833854494912858
Llama-3.1-405B,128,lognormal_mixture_2,0.03008249612355232,0.6160712047104424,0.05,0.01777233734505344,0.3839287952895576,1.2206296529153282,0.030214832869952784
Llama-3.1-405B,192,lognormal_mixture_2,0.030320093276143073,0.6676476145293926,0.05,0.031746846437682316,0.3323523854706074,1.4276701505839031,0.041205692039902035
Llama-3.1-405B,256,lognormal_mixture_2,0.030789543183684348,0.3650500581285596,1.5919966754869803,0.03573730522680613,0.6349499418714404,0.3721225887337235,0.04324939305958362
Llama-3.1-405B,384,lognormal_mixture_2,0.03019163595342636,0.34060155138587245,1.7170985862943504,0.03991190875593972,0.6593984486141276,0.4563966264262895,0.0597066517568152
Llama-3.1-405B,512,lognormal_mixture_2,0.030048940571188926,0.6637867129548851,0.4334724494446896,0.044447301633350554,0.3362132870451149,1.9213625679927164,0.04683803969863319
Llama-3.1-70B,8,lognormal_mixture_2,0.013241712244391442,0.9590492491949718,0.05,0.0033418650030394626,0.04095075080502819,0.8751605195077952,0.005297393800444009
Llama-3.1-70B,16,lognormal_mixture_2,0.015499197187066079,0.9109239234603462,0.07913035461052097,0.0022230910334916296,0.08907607653965377,1.2844234847005134,0.004313043371105469
Llama-3.1-70B,32,lognormal_mixture_2,0.016572259606957435,0.9036431909468846,0.10971052943864357,0.0034452728216791523,0.09635680905311539,1.5074175831534309,0.006175543416404281
Llama-3.1-70B,64,lognormal_mixture_2,0.016720101477742194,0.849821013098371,0.09826399163532819,0.005697346737934002,0.150178986901629,1.3616972036550803,0.008828633434550627
Llama-3.1-70B,96,lognormal_mixture_2,1.0773779988288879e-05,0.838841364996162,0.05,0.025306298134214287,0.16115863500383798,0.6442443219876751,0.034668825689171574
Llama-3.1-70B,128,lognormal_mixture_2,0.0022778047790527342,0.778751155450476,0.05,0.02568463145989505,0.22124884454952398,0.5948150662563634,0.03383674745941713
Llama-3.1-70B,192,lognormal_mixture_2,0.016638526933431624,0.6184377134689882,0.10867393985639938,0.01714548617582296,0.38156228653101176,1.5189443495977526,0.018703032248183576
Llama-3.1-70B,256,lognormal_mixture_2,0.016839679571032523,0.37867807030177136,1.4631774065297862,0.02020604087391179,0.6213219296982286,0.1354246512511205,0.023516103187706146
Llama-3.1-70B,384,lognormal_mixture_2,0.014811257140874863,0.5468025466710149,1.1391787357157586,0.029867121733272828,0.4531974533289851,0.111777385177493,0.04197168592710716
Llama-3.1-70B,512,lognormal_mixture_2,0.01658029133284092,0.35041286756721335,1.3462214452446384,0.03733948541353972,0.6495871324327867,0.10431631509790713,0.05843082131488063
Llama-3.1-70B,768,lognormal_mixture_2,0.016117640080094336,0.35433929219987603,1.418245669226621,0.03127136906409066,0.645660707800124,0.14808465753722347,0.09211974240843952
Llama-3.1-70B,1024,lognormal_mixture_2,0.016125269474625586,0.3495261785673537,1.5217750215970742,0.041688588651955336,0.6504738214326463,0.2462296773360523,0.09652171767308945
Llama-3.1-70B,1536,lognormal_mixture_2,0.016071272963356226,0.19234691924731084,1.7596491528177638,0.03420538011598045,0.8076530807526892,0.46924205332030033,0.089848886853969
Llama-3.1-70B,2048,lognormal_mixture_2,0.016001691991161554,0.12633032986889614,1.9824576270857919,0.03344713394228911,0.8736696701311039,0.565330172781654,0.08379097178728898
Llama-3.1-8B,8,lognormal_mixture_2,0.0017732551863193513,0.9578533860989895,0.05,0.0055782406714952265,0.04214661390101049,0.7319335730101633,0.0056649474765016194
Llama-3.1-8B,16,lognormal_mixture_2,0.0018269608339071275,0.8953564425592895,0.05,0.006130842910997042,0.10464355744071052,0.787949891540804,0.0064746630446026925
Llama-3.1-8B,32,lognormal_mixture_2,0.0035353920032978057,0.8259658599463515,0.093251542298717,0.005399039804654786,0.17403414005364848,0.6283723882974765,0.006034873438781453
Llama-3.1-8B,64,lognormal_mixture_2,0.0047925396432876586,0.15241453460317977,0.8077132495834084,0.006554435848211792,0.8475854653968202,0.1343829094213754,0.0068440681404629946
Llama-3.1-8B,96,lognormal_mixture_2,0.0019363875111341477,0.7380660109615066,0.08150463339106037,0.01218169825049524,0.2619339890384934,0.632097274814945,0.012201993050876735
Llama-3.1-8B,128,lognormal_mixture_2,0.0026725998690128325,0.329561104501201,0.6028124518856584,0.01291166006566778,0.670438895498799,0.10190881519172769,0.01398383994948415
Llama-3.1-8B,192,lognormal_mixture_2,0.004752941670060158,0.23372256371098543,0.7849802295588915,0.0150463242114058,0.7662774362890146,0.14182877630339646,0.01598165094645324
Llama-3.1-8B,256,lognormal_mixture_2,0.006535205008160323,0.20640747214612953,0.9154474758196223,0.016315824423412995,0.7935925278538705,0.15827383548087384,0.019609283330274195
Llama-3.1-8B,384,lognormal_mixture_2,0.004538576999377459,0.3055138904892064,0.8129715507672286,0.02542297917615243,0.6944861095107936,0.10481746968936954,0.03365572663992157
Llama-3.1-8B,512,lognormal_mixture_2,0.006579698012840003,0.20157962813553787,1.3251956670044174,0.017431896454495718,0.7984203718644621,0.16222657200608384,0.04203774478880279
Llama-3.1-8B,768,lognormal_mixture_2,0.00489947998027876,0.4102293106146204,0.8954582871522097,0.045424901604616506,0.5897706893853796,0.0958052090925679,0.058643939455719225
Llama-3.1-8B,1024,lognormal_mixture_2,0.007010523004621267,0.2162573398733747,1.5148319210986743,0.023334748866848526,0.7837426601266253,0.2225255796663595,0.05956751699666166
Qwen3-235B-A22B,8,lognormal_mixture_2,0.013058345998044592,0.06865770906614554,0.2964711653438411,0.00519407736027536,0.9313422909338545,0.08145564694748231,0.007196610201069568
Qwen3-235B-A22B,16,lognormal_mixture_2,0.012917142001581146,0.03209755885443977,0.3364193391214592,0.010055679342980215,0.9679024411455602,0.06668499474004932,0.011944872620218289
Qwen3-235B-A22B,32,lognormal_mixture_2,0.013021193001233973,0.08752977956263286,0.3888129537458069,0.012894545131554781,0.9124702204373671,0.05215477595544453,0.02038829931099621
Qwen3-235B-A22B,64,lognormal_mixture_2,0.013067278996797745,0.08165270452298956,1.1879848722617707,0.013607592085388696,0.9183472954770104,0.08662948392900281,0.02541259423220897
Qwen3-235B-A22B,96,lognormal_mixture_2,0.014793187001825777,0.15650526332989512,0.5909612329674692,0.015913317708739556,0.8434947366701049,0.08592049198306687,0.024908395671325943
Qwen3-235B-A22B,128,lognormal_mixture_2,0.013250339005364572,0.0826663739310014,1.4754674804724548,0.010186920973940559,0.9173336260689986,0.1192887538283944,0.026592548144528116
Qwen3-235B-A22B,192,lognormal_mixture_2,0.013189563986427151,0.026854877703434865,2.5037616364005233,0.018437463794844785,0.9731451222965651,0.1420087680700662,0.02687676804506179
Qwen3-235B-A22B,256,lognormal_mixture_2,0.01325633499834314,0.7479389783794014,0.07938870914892968,0.025729232489331608,0.2520610216205986,0.5252417168242823,0.028301520442211254
Qwen3-235B-A22B,384,lognormal_mixture_2,0.013478797999025323,0.777928232335213,0.09695357279523584,0.024930327834188436,0.22207176766478698,0.7095586536822586,0.03322765412708674
Qwen3-235B-A22B,512,lognormal_mixture_2,0.013146029007086531,0.8224198638020391,0.09983052036261611,0.024200569803794394,0.17758013619796087,0.7204206877666427,0.03455616392329533
Qwen3-30B-A3B,8,lognormal_mixture_2,0.005612284185528755,0.02451427587849475,0.8401834713569618,0.0023369924600121004,0.9754857241215052,0.09591646898132508,0.003743212427610807
Qwen3-30B-A3B,16,lognormal_mixture_2,0.006709285320878029,0.06811011573991077,0.7066423134806045,0.003488072071334762,0.9318898842600892,0.10968234279797877,0.005286084772734071
Qwen3-30B-A3B,32,lognormal_mixture_2,5.387010216712952e-06,0.10122640292519469,0.33658931223823957,0.013000996744328759,0.8987735970748053,0.05,0.01640469159213389
Qwen3-30B-A3B,64,lognormal_mixture_2,5.24731183052063e-06,0.3786005323353183,0.1933315951912182,0.018392244308793514,0.6213994676646817,0.05,0.02199501617088762
Qwen3-30B-A3B,96,lognormal_mixture_2,0.005704086514353752,0.10667591483626326,0.9135642352221147,0.009315065436423254,0.8933240851637367,0.17041518988603524,0.020937595889766954
Qwen3-30B-A3B,128,lognormal_mixture_2,0.005779745297670364,0.09835787004533425,0.8638437216770689,0.011952816505967263,0.9016421299546657,0.17115589522976615,0.022204989839097976
Qwen3-30B-A3B,192,lognormal_mixture_2,0.006146881969809532,0.4503620513685357,0.44111748026738157,0.023996489386177672,0.5496379486314643,0.09280191100817069,0.03517282452060235
Qwen3-30B-A3B,256,lognormal_mixture_2,0.005351871492505073,0.48202647011066024,0.46540172529241997,0.029797615836584145,0.5179735298893398,0.08247269205931415,0.04655741743741428
Qwen3-30B-A3B,384,lognormal_mixture_2,0.005363984273910522,0.3557035138183463,0.4926395770591876,0.03479809929767838,0.6442964861816537,0.05,0.04511956412849174
Qwen3-30B-A3B,512,lognormal_mixture_2,0.005344948040485382,0.15596741350144505,0.7857801384710986,0.031408287375895155,0.844032586498555,0.16501900831914335,0.04628929533783176
