model_label,metric,L,x0,k,b0
Llama-3.1-405B,power,1824.2431634291543,5.692307692307692,1.0811807510766078,3147.2107548161143
Llama-3.1-70B,power,1154.0021476589793,7.384615384615384,0.5790443980602487,1646.7205316820882
Llama-3.1-8B,power,210.91957273648856,5.461538461538462,1.2638482029342986,480.39716041942944
Qwen3-235B-A22B,power,1130.4391558531665,3.846153846153846,1.2638482029342986,2551.575492388905
Qwen3-30B-A3B,power,443.2622940538776,3.435897435897436,0.6768750009458534,521.7717515634698
Llama-3.1-405B,latency,0.11093873569263064,7.743589743589744,1.2638482029342986,0.0348478282019266
Llama-3.1-70B,latency,0.33371699238674013,11.23076923076923,0.6768750009458534,0.015812996702430672
Llama-3.1-8B,latency,0.08748363159637873,9.153846153846153,1.0811807510766078,0.008524586220155362
Qwen3-235B-A22B,latency,0.6723338083513208,10.0,0.9249147277217336,0.025327222690596864
Qwen3-30B-A3B,latency,0.22314992755762234,9.58974358974359,0.9249147277217336,0.011393094262367042
Llama-3.1-405B,throughput,2118.110154978321,5.897435897435898,1.2638482029342986,231.54554435357167
Llama-3.1-70B,throughput,7487.842476643307,6.871794871794871,0.6768750009458534,-115.86209784704975
Llama-3.1-8B,throughput,9383.467277123864,6.153846153846154,0.9249147277217336,771.2518469119889
Qwen3-235B-A22B,throughput,1400.9050260569727,4.461538461538462,0.9249147277217336,102.096446985242
Qwen3-30B-A3B,throughput,16272.619545718624,10.0,0.3101168926574778,-798.037719989131
