dc_bus,model,max_replicas,max_gpus,hosting_capacity_kw,hosting_capacity_MW,search_iterations
632,Llama-3.1-8B,7040,7040,9856.0,9.856,5
632,Llama-3.1-70B,1781,7124,9973.6,9.973600000000001,0
632,Llama-3.1-405B,888,7104,9945.6,9.9456,0
632,Qwen3-30B-A3B,3567,7134,9987.6,9.9876,0
632,Qwen3-235B-A22B,888,7104,9945.6,9.9456,0
633,Llama-3.1-8B,5217,5217,7303.8,7.3038,9
633,Llama-3.1-70B,1426,5704,7985.6,7.985600000000001,6
633,Llama-3.1-405B,697,5576,7806.4,7.8064,6
633,Qwen3-30B-A3B,3072,6144,8601.6,8.601600000000001,7
633,Qwen3-235B-A22B,770,6160,8624.0,8.624,5
670,Llama-3.1-8B,5542,5542,7758.8,7.7588,9
670,Llama-3.1-70B,1444,5776,8086.4,8.0864,6
670,Llama-3.1-405B,744,5952,8332.8,8.332799999999999,6
670,Qwen3-30B-A3B,3125,6250,8750.0,8.75,7
670,Qwen3-235B-A22B,780,6240,8736.0,8.736,5
671,Llama-3.1-8B,3646,3646,5104.4,5.1044,10
671,Llama-3.1-70B,942,3768,5275.2,5.2752,8
671,Llama-3.1-405B,487,3896,5454.4,5.4544,7
671,Qwen3-30B-A3B,2047,4094,5731.6,5.7316,9
671,Qwen3-235B-A22B,512,4096,5734.4,5.7344,7
675,Llama-3.1-8B,3305,3305,4627.0,4.627,10
675,Llama-3.1-70B,856,3424,4793.6,4.7936000000000005,8
675,Llama-3.1-405B,438,3504,4905.6,4.905600000000001,7
675,Qwen3-30B-A3B,1862,3724,5213.6,5.2136000000000005,9
675,Qwen3-235B-A22B,463,3704,5185.6,5.1856,7
680,Llama-3.1-8B,3141,3141,4397.4,4.397399999999999,10
680,Llama-3.1-70B,815,3260,4564.0,4.564,8
680,Llama-3.1-405B,419,3352,4692.8,4.6928,7
680,Qwen3-30B-A3B,1768,3536,4950.4,4.950399999999999,9
680,Qwen3-235B-A22B,441,3528,4939.2,4.9392,7
692,Llama-3.1-8B,3646,3646,5104.4,5.1044,10
692,Llama-3.1-70B,942,3768,5275.2,5.2752,8
692,Llama-3.1-405B,487,3896,5454.4,5.4544,7
692,Qwen3-30B-A3B,2047,4094,5731.6,5.7316,9
692,Qwen3-235B-A22B,512,4096,5734.4,5.7344,7
