dc_bus,scenario,tap_reg1,step_reg1,tap_reg2,step_reg2,tap_reg3,step_reg3
632,inference,1.08750,14,1.03750,6,1.09375,15
632,training,1.10000,16,1.03750,6,1.10625,17
633,inference,1.08750,14,1.03750,6,1.09375,15
633,training,1.10000,16,1.03750,6,1.10625,17
670,inference,1.08750,14,1.03750,6,1.09375,15
670,training,1.10000,16,1.03750,6,1.10625,17
671,inference,1.08750,14,1.03750,6,1.09375,15
671,training,1.10000,16,1.03750,6,1.10625,17
675,inference,1.09375,15,1.03750,6,1.10000,16
675,training,1.10000,16,1.05000,8,1.10000,16
680,inference,1.10000,16,1.03750,6,1.10000,16
680,training,1.10000,16,1.05000,8,1.10000,16
692,inference,1.08750,14,1.03750,6,1.09375,15
692,training,1.10000,16,1.03750,6,1.10625,17
